1,Competitor-1,2.789,1.759,2.729,3.069,2.789,3.479,2.839,2.349,2.019,1.629,1.699,2.089,2017
2,Competitor-2,1.989,2.009,2.919,2.299,2.249,3.289,3.299,2.499,2.629,2.599,1.509,2.119,2017
3,Competitor-3,2.449,2.519,3.399,2.819,2.939,3.499,2.289,2.249,1.629,1.859,2.479,2.789,2017
4,Competitor-4,2.659,2.249,2.399,2.759,2.599,3.449,2.559,3.039,1.769,1.739,2.309,2.159,2017
5,Competitor-5,1.709,2.089,2.669,2.829,3.369,2.689,3.499,2.779,2.049,2.169,2.289,2.519,2017
6,Competitor-6,2.229,1.369,2.759,2.479,3.159,3.109,2.859,2.649,2.429,2.429,1.559,1.729,2017
7,Competitor-7,2.829,1.349,2.899,2.759,2.639,2.949,3.449,3.279,2.599,2.339,1.649,2.429,2017
8,Competitor-8,2.739,1.539,2.479,3.239,2.909,2.269,3.069,2.679,1.359,2.699,2.499,1.709,2017
9,Competitor-9,1.759,2.449,3.039,2.539,2.559,3.389,2.339,2.309,1.609,2.239,2.189,2.089,2017
10,Competitor-10,1.869,2.319,3.319,2.789,2.379,2.529,3.219,2.739,1.709,1.969,1.899,1.809,2017
11,Competitor-11,2.209,1.559,2.719,3.119,3.089,3.289,3.199,3.379,2.769,1.399,2.669,2.519,2017
12,Competitor-12,2.349,2.469,2.579,3.059,3.119,2.299,3.299,2.499,1.649,1.709,2.509,1.379,2017
13,Competitor-13,1.369,2.279,2.359,2.989,3.109,2.429,2.929,2.409,2.409,2.429,2.339,2.639,2017
14,Competitor-14,2.169,2.539,2.389,2.879,3.229,2.509,2.349,2.619,1.429,2.189,1.809,2.589,2017
15,Competitor-15,1.899,1.469,3.319,2.629,2.539,3.259,3.119,2.819,2.479,1.999,1.659,2.519,2017
16,Competitor-16,1.679,1.749,2.669,3.189,3.379,2.589,3.499,2.769,2.549,1.779,2.289,1.839,2017
17,Competitor-17,1.859,2.709,3.419,3.459,3.449,3.139,2.489,3.089,1.979,2.219,2.469,2.269,2017
18,Competitor-18,2.429,1.619,2.889,2.779,3.379,3.269,2.669,3.009,2.239,1.699,1.429,2.259,2017
19,Competitor-19,2.449,2.289,2.909,3.089,2.619,2.429,2.939,2.609,2.669,2.379,2.609,2.459,2017
20,Competitor-20,2.559,2.759,3.459,3.089,3.009,2.869,2.909,2.669,2.589,1.609,2.659,2.329,2017
21,Competitor-21,2.799,2.069,3.019,2.739,2.629,3.469,3.309,2.349,1.609,1.959,1.379,1.539,2017
22,Competitor-22,1.899,2.509,2.419,2.799,3.149,3.399,2.889,2.569,1.559,1.649,2.429,2.579,2017
23,Competitor-23,2.269,2.649,2.299,3.059,2.469,3.379,3.159,3.289,1.589,1.829,1.799,1.589,2017
24,Competitor-24,2.189,2.589,3.209,3.409,2.269,3.379,3.479,2.669,2.529,2.369,2.729,2.429,2017
25,Competitor-25,2.609,2.769,2.309,2.809,2.559,3.069,3.429,3.239,1.859,2.639,1.909,1.979,2017
26,Competitor-26,1.319,1.629,3.339,2.509,2.809,2.319,2.289,2.429,2.479,1.589,1.649,1.969,2017
27,Competitor-27,2.089,2.749,3.319,3.069,2.479,2.989,2.779,3.349,1.519,1.539,2.789,2.489,2017
28,Competitor-28,2.079,2.699,2.569,2.239,3.319,2.989,2.539,2.909,1.449,2.499,2.519,1.609,2017
29,Competitor-29,1.949,1.639,3.259,2.499,2.489,2.829,2.459,2.439,1.899,1.949,2.779,1.429,2017
30,Competitor-30,2.059,2.549,3.339,3.499,2.999,3.049,3.139,3.509,2.829,2.209,1.369,1.359,2017
31,Competitor-31,1.399,1.679,2.679,2.759,2.509,2.429,3.409,3.379,2.809,1.579,2.299,2.179,2017
32,Competitor-32,1.709,2.329,2.529,2.579,3.509,3.469,2.789,3.429,1.579,2.739,2.229,1.949,2017
33,Competitor-33,2.199,2.339,2.259,3.289,2.439,2.459,2.689,2.559,1.559,2.069,1.789,2.259,2017
34,Competitor-34,2.049,2.669,2.469,3.319,2.249,2.539,2.459,2.749,1.929,2.759,2.379,2.459,2017
35,Competitor-35,1.389,2.129,3.389,2.619,2.679,2.779,3.279,3.529,2.449,2.749,1.579,1.389,2017
36,Competitor-36,2.579,2.709,3.309,2.999,3.459,3.469,3.469,2.389,1.869,2.609,2.729,1.799,2017
37,Competitor-37,2.109,2.189,3.459,2.719,2.949,2.509,3.469,2.749,2.089,2.219,1.979,1.509,2017
38,Competitor-38,1.809,2.249,2.489,2.939,2.359,3.329,2.559,3.399,1.999,1.809,2.289,2.599,2017
39,Competitor-39,1.419,1.529,3.109,2.659,2.599,2.989,3.349,2.349,1.309,2.279,2.059,2.189,2017
40,Competitor-40,2.439,2.439,3.149,3.039,3.069,3.169,3.479,3.119,2.499,1.549,1.869,2.429,2017
41,Competitor-41,2.189,2.139,3.209,2.929,3.369,2.489,3.199,2.279,2.029,2.379,1.669,2.139,2017
42,Competitor-42,1.779,1.999,3.519,3.149,3.199,2.639,2.849,2.589,1.329,1.819,2.309,1.729,2017
43,Competitor-43,1.689,2.179,3.489,3.359,3.359,2.929,2.769,2.639,2.739,2.809,2.039,1.449,2017
44,Competitor-44,1.829,1.909,2.349,2.519,3.279,2.319,2.439,3.489,2.359,1.829,2.219,2.459,2017
45,Competitor-45,1.519,2.179,2.789,2.639,3.389,2.599,3.219,2.419,2.399,1.799,1.689,2.759,2017
46,Competitor-46,2.759,1.809,3.479,3.279,2.989,2.879,2.449,2.859,2.489,1.319,1.839,1.779,2017
47,Competitor-47,1.949,1.759,2.479,3.319,2.439,3.339,3.329,3.509,2.509,2.149,2.079,1.919,2017
48,Competitor-48,1.449,1.449,3.389,3.519,2.509,2.969,2.309,3.449,1.929,1.579,2.069,2.359,2017
49,Competitor-49,2.549,2.639,2.379,3.529,3.309,2.449,3.459,3.369,2.209,1.859,2.809,1.629,2017
50,Competitor-50,1.329,2.219,2.399,2.879,2.899,3.439,2.649,2.879,2.159,2.409,1.309,1.999,2017
51,Competitor-51,1.889,1.589,2.229,2.699,2.969,3.169,2.489,2.899,2.779,2.229,1.649,1.399,2017
52,Competitor-52,2.509,1.399,3.369,2.569,2.289,2.919,2.239,2.539,2.399,2.239,1.989,2.709,2017
